Entry	Organism ID
B7UNQ8	574521
B4TCN8	454169
B3H2Y8	537457
A1S6A5	326297
B2TWD5	344609
B5Z040	444450
B7M6Z3	585034
P0AFZ0	623
Q6LTC6	298386
P0C079	83333
Q3IGV1	326442
C4K392	572265
Q65U90	221988
P0AFY8	83333
B0TUS0	458817
B4ESN7	529507
P03049	10754
A0KIH3	380703
A1STA5	357804
E1W6L8	862965
Q8PYL9	192952
A8AR62	290338
C4XJB6	573370
Q0SZJ2	373384
B6I346	409438
Q2IVL9	316058
B1LIE4	439855
A1AH17	405955
A4W853	399742
P05835	562
Q082Q5	318167
Q15TS1	342610
Q32IN7	300267
E1SM51	550540
F2EP55	932677
Q7VLX4	233412
B7VI46	575788
P9WJ58	83331
Q7CQY1	99287
B1KEH7	392500
Q70LE3	654909
P9WJ47	83332
P95006	83332
B8F412	557723
B5BJL6	554290
O58316	70601
B7MDX1	585035
A5GBR0	351605
Q2LUY2	56780
B0R2R5	478009
P10512	562
P11906	562
P9WL41	83332
P9WJ44	83331
B4TPW1	439843
P9WIJ7	83332
Q5E6N6	312309
P9WJ45	83332
Q8PZ28	192952
Q9UYR5	272844
B2U4B0	344609
C3MQC7	429572
B5XTJ9	507522
Q89WI8	224911
P0A6Z6	83333
C3NEK4	439386
B5YUQ6	444450
P64414	90370
P0AFY9	199310
Q9KQA4	243277
Q12MQ7	318161
A6VMY4	339671
A7ML79	290339
Q57HB6	321314
A1JUB1	393305
Q485E3	167879
Q2IN94	290397
Q8KF60	194439
B2SAM1	430066
A6VI08	426368
A0B6X8	349307
C5BCE8	634503
B5Z8Y5	563041
P0C080	623
A6VLD8	339671
B1IVD9	481805
Q7MZD8	243265
C6DHN7	561230
Q9ZGW3	632
Q2NQY6	343509
Q66G78	273123
B7VLM0	575788
P9WIJ6	83331
B7LSV6	585054
A4W9Y8	399742
Q9ZJP7	85963
P58092	83334
P9WJ87	83332
Q8EA52	211586
A8A746	331112
B5QXM8	550537
B5XZ31	507522
O26834	187420
Q727G4	882
B8E0M0	515635
A6URH7	406327
B5BHM4	554290
B4TYY1	439843
Q1CRS0	357544
A9R4I4	349746
Q8PTQ6	192952
Q9HSN7	64091
Q1MPD3	363253
C3NH39	419942
C0QPW0	123214
B7NN95	585057
B3E7G1	398767
Q578T1	262698
C0RLV7	546272
Q6N0K6	258594
B1J0E9	481805
B5EC98	404380
Q31VE5	300268
A6UW87	419665
Q12UF9	259564
P0A6Z7	199310
P03050	10754
Q3YV35	300269
B7LA39	585055
C5A0A5	595496
P9WJ57	83332
P9WJ09	83332
P9WJ43	83332
Q92IU6	272944
P9WJ56	83331
O28282	224325
O28794	224325
P9WLM7	83332
Q9CLT7	272843
C3N1X1	427318
Q9V1M3	272844
Q57812	243232
A1BDR8	290317
P9WJ48	83331
P9WLM6	83331
Q60386	243232
P74458	1111708
O07227	83332
O28791	224325
O28584	224325
Q0SZ79	373384
P9WJ30	83331
O53778	83332
P9WJ29	83332
P9WJ38	83331
P0AAU7	83333
Q9X139	243274
P64836	233413
Q8FBE9	199310
P9WJ49	83332
Q9X145	243274
O74000	70601
Q9X7L3	266834
P9WJ08	83331
Q96Z89	273063
Q32AD6	300267
B8F882	557723
C3N649	427318
A7I1P3	360107
P22995	562
B4T0U7	423368
Q7N1I3	243265
P67698	83334
Q8TV90	190192
Q9CLE7	272843
P0A8U6	83333
Q88HL5	160488
Q8TQZ1	188937
A9MC92	483179
B1X7T9	316385
Q5PJN1	295319
P67697	83333
A8GL90	399741
B5FPU9	439851
O29515	224325
C4ZW30	595496
Q32AQ0	300267
B6JNH5	570508
P0CL61	83332
A7MXB2	338187
Q7VN90	233412
Q0I283	205914
Q5QXP4	283942
Q9A458	190650
P13461	359
Q70LE1	654909
P9WLZ1	83332
A7FCZ2	349747
P9WJ33	83332
P58091	190650
P71357	71421
Q914K2	654908
P64878	233413
P9WJ32	83331
Q8PU66	192952
P55533	394
P9WJ34	83331
Q59073	243232
Q8U1I5	186497
O19199	224325
Q8EEP2	211586
Q52561	223283
C4LC10	595494
P44564	71421
G8Q5R9	1114970
P03847	562
B6ELS5	316275
A8AIC3	290338
A5UEY9	374931
Q9CNF0	272843
Q7N603	243265
Q6LR94	298386
B5FQZ9	439851
B5QZF9	550537
B4T1Z9	423368
Q5PGD4	295319
A9N6X2	1016998
C0Q8D6	476213
B5BBL1	554290
B4TSI2	439843
Q8Z7S1	90370
Q8ZQ68	99287
B2TTT9	344609
Q31YL9	300268
Q32HV1	300267
Q0T679	373384
P0A8N2	623
Q3Z3G5	300269
B7VNL8	575788
A7N0M1	338187
Q9KS02	243277
Q87PC8	223926
Q8D9H5	216895
Q7MKW4	196600
A1JMT1	393305
A7FJT1	349747
B2JYT3	502801
Q8ZG78	632
Q66CF1	273123
B1JQQ8	502800
P13959	83333
P20211	244589
G3XCY4	208964
P62553	83334
P96621	224308
P20217	244589
Q46995	562
P62552	83333
A0A140ND86	469008
Q7BSX2	83334
Q47150	83333
P13920	1311
P62537	623
Q31U49	300268
A4TS76	386656
A4WG61	399742
A5F4W0	345073
B0USK7	228400
P0A8U9	623
P62536	562
C4K6P9	572265
A3N3L1	416269
Q8DCN7	216895
O26703	187420
Q1CBE1	360102
Q6CZA0	218491
C0Q452	476213
B5F0T1	454166
Q0TAC6	362663
A5VV94	444178
B7L5T4	585055
Q3YW47	300269
Q0TBX7	362663
D2TS86	637910
A7MFW6	290339
A7ZK59	331111
B7UN35	574521
B7MIA9	585035
B7LE56	585055
P0A8N1	83334
B5YT86	444450
B7NM18	585057
B7MS67	585397
B7M885	585034
C4ZQ82	595496
B1X8R0	316385
A7ZYQ8	331112
A1A9M5	405955
Q0TJA5	362663
Q8FJ81	199310
B1IVX6	481805
P0A8N0	83333
B7N3B8	585056
B6I930	409438
B1LJ43	439855
Q1RDQ8	364106
A4W8W8	399742
B2VDE5	465817
B7LNW6	585054
Q7VPB1	233412
Q4QKK3	281310
A5UC89	374930
P44161	71421
B5XY49	507522
A6T750	272620
B5F1V3	454166
A9MHT3	41514
Q57QT4	321314
B5R6C2	550538
B4TDZ6	454169
Q8ZJI8	632
A1JI14	393305
B5RF72	550538
A8AKY5	290338
B1LNP3	439855
B8JBW0	455488
Q9AL83	204722
Q8TIR7	188937
A7ZDN6	360104
Q8Z2Z4	90370
P67299	233413
Q9KNP9	243277
P0A8U7	199310
C6C0U7	526222
Q9UX49	273057
B9JL06	311403
C4KHL2	426118
A7ZT19	331111
Q0W112	351160
B6YSU8	523850
O06779	83332
A1VAN1	391774
O25896	85962
B7UL33	574521
Q5V2S1	272569
P0A6Z8	83334
B8J1Q4	525146
Q6AS54	177439
Q748M1	243231
B5RGU2	550538
B2JZD3	502801
A6TGC7	272620
B4UBV8	447217
B5YAK0	309799
A4G0H7	402880
B7M2P4	585034
P64413	99287
A9MM66	41514
B3QLJ9	517417
Q57969	243232
B0BTJ8	434271
Q87L49	223926
P44618	71421
Q7MH63	196600
A7ZUF7	331111
P06203	99287
A9MZJ3	1016998
C3LSB1	579112
P0A8U8	83334
Q57IP3	321314
Q5JDJ4	69014
Q5PK48	295319
Q8YCP2	224914
A9WZ97	470137
B3EFS3	290315
B3QCC6	395960
Q3IUG3	348780
C5A3C2	593117
A5UAJ6	374930
C3MW06	427317
A6TFA8	272620
Q7VJ91	235279
B4F178	529507
Q4QNP9	281310
Q8U3X9	186497
P0CL58	233413
B6I4T6	409438
Q7MYC7	243265
A9A8S1	444158
B1XBA4	316385
P06666	358
P05836	562
Q8TQM6	188937
Q00736	562
P9WJ59	83332
Q8U2Q8	186497
P74641	1111708
P07166	176299
P0AAU8	83334
P9WJ35	83332
Q972K6	273063
P9WLU3	83332
P9WKS4	83331
Q58177	243232
Q1R425	364106
P06627	83333
P9WJ18	83331
P9WJ19	83332
P9WLZ0	83331
P06667	358
P12059	90370
P0ADQ6	623
P0ADQ5	83333
P9WKS5	83332
Q58522	243232
P43995	71421
Q9ZKH6	85963
Q9ZDT5	272947
P9WJ46	83331
A0QRY5	246196
Q4JBF2	330779
P0AAU9	623
Q0TAG9	362663
Q39YD7	269799
P0A6Z9	623
Q1CD62	377628
B1JQ68	502800
B7LUR5	585054
Q9PBR9	160492
B1J9R7	390235
Q30X46	207559
A8A5T9	331112
A1AQS8	338966
P58093	243277
B7N1R9	585397
Q8R5U7	273068
Q2YJ35	359391
A7GYJ8	360105
Q18I31	362976
Q17Z13	382638
Q6M197	267377
C6E697	443144
Q1R5D7	364106
Q01RT6	234267
B2UVA2	512562
C6A2F6	604354
B7NEA8	585056
B5R3Y5	550537
P0C2N3	630
Q9A9D4	190650
Q8TM54	188937
B8DLK7	883
Q137U7	316057
P9WJ86	83331
P13657	562
B2VI92	465817
Q573G1	654910
P0A5H0	233413
P9WL40	83331
Q9HK40	273075
Q8QL40	157898
P13460	359
P9WJ42	83331
Q8X8C1	83334
Q5JDU6	69014
Q3V4V8	315953
O29190	224325
P18591	176299
P9WJ28	83331
P9WJ39	83332
P55365	394
O53811	83332
P9WJ31	83332
P9WLU2	83331
P51716	1289570
P72913	1111708
P74794	1111708
Q3V4V9	315953
P0CW33	83332
K0CBX7	930169
A0A1Q9URG1	1904970
A0A022FQS4	574750
A0A5N5EC30	1833
K0C8E2	930169
A0A640YA48	1978231
A0A0N0SH02	1415557
A0A2V9WAE5	1978231
A0A2E6RER8	2006849
E1M852	871237
A0A7K2VBK9	1833
A0A374E9G4	2293205
A0A5F2GKG2	2500531
A0A2V9R0Z8	1978231
A0A1V3TUJ7	1924934
A0A2V8ZM16	1978231
A0A3N7D7X1	2153358
A0A1W9IH01	1978764
F2UZ04	562973
D9T8H3	644283
A0A137SSY9	1588750
A0A2V9U6Z2	1978231
A0A6M4MA37	1858656
A0A432V0H4	1851146
A0A0U1RIP4	122587
A0A415IN87	2292016
A0A2Z3QYX7	1281578
A0A2S0PAY0	57480
A0A558J944	664683
A0A367RQQ0	1844469
A0A0X7ABD2	477195
A0A4Z0W6K3	2759953
B1I6K0	477974
A0A1B1N933	1758689
A0A1G5HFR1	1520805
A2C3W3	167555
A0A1X1QVU7	56425
A0A2E8E3J4	1978231
A0A137STY3	1588750
A0A4Z0WFC0	2759953
A0A3N5NLP7	1978231
A0A0R2YC26	75588
A7ZNQ4	331111
A0A7C2B2D4	2268184
A0A7K3UA69	396
A0A0F7PL55	1620421
T2IZG0	423472
A0A3R8RKE3	2490848
G5F6L5	665940
A0A3M4L356	34065
A0A657N9P7	150340
A0A657MXT9	150340
T2IQW6	423472
A0A7K3UHF0	396
A0A7K0AG00	165179
A0A5R9R599	2571105
A0A373KZV9	2293179
R6W654	1262873
J0S1C8	992092
A0A091BQX9	1294274
A0A0R2YNA6	75588
R9VFX0	1331671
A0A7C3VN22	1872442
A0A249NNH5	1380360
A0A413JGD8	1512
A0A413JG88	1512
A0A154C178	1817793
K2LCX0	1177928
A0A0K0H8T2	218493
A0A0G1NEB8	1618914
A0A0Q5CVR0	1736264
A0A1G8G8P6	83401
R5FUR9	1262842
A0A7K0ABY0	165179
A0A097R062	1453496
A0A1J5JEW6	1525
T2IM93	423472
A0A6L9EGC1	2697053
A0A7G5IKX0	2759707
A0A246A8N8	2003629
A0A1M5BQH1	1121425
A0A7G5IIY4	2759707
A0A0F1AZJ1	2071710
A0A2U1YUB1	716760
L3NSX9	1182673
A0A7C1WAD8	2268184
A0A2T3VWR7	2108399
A0A4U0YM93	653930
A0A4R9LHY7	293085
L3PBA6	1182673
G5FBW3	665940
N9WB11	999413
A0A2X4RN94	726
A0A1Q6M4W7	1896987
V6FYP6	869678
A0A6G6S6B0	626774
A0A3R6Q269	2292201
A0A2S0KQC5	2094242
V6FTD7	869678
A0A7K1M4G1	165179
A0A7K3UGM9	396
A0A0J7XVC8	1420583
A0A2W5A9J3	397260
T2IM71	423472
A0A2N1ZP94	2013792
A0A1J5NMJ1	1525
A0A1S0V7R6	1214121
A0A1J5NXV5	1525
